Project Name,Package Name,Architecture Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigImplTest]; [AssetDetails404Servlet]; [AssetDetailsImpl]; [AssetDetailsResolverImpl]; [MessagesImpl; ConfigImpl]; [ConfigImpl.ActionEnablements]. LCC (Lack of Component Cohesion) = 0.86
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServletHelperImplTest]; [OakIndexResolverTest; OakIndexResolver]; [RequireAemImplTest; RequireAemImpl; RequireAemCanary; RequireAemCanaryImpl]; [ExpressionEvaluatorImplTest]; [JsonResolverImplTest]; [ServletHelperImpl]; [JsonResolverImpl]; [MimeTypeHelperImpl]; [EmailServiceImpl]; [DataSourceBuilderImpl]; [AbstractHTLMap; ModelCacheImpl]; [ExpressionEvaluatorImpl]. LCC (Lack of Component Cohesion) = 0.71
asset-share-commons,com.adobe.aem.commons.assetshare.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions
asset-share-commons,com.adobe.aem.commons.assetshare.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PredicateUtilTest; PredicateUtil]; [UrlUtilTest; UrlUtil]; [ExpressionEvaluator]; [MimeTypeHelper]; [WorkflowUtil]; [ResourceTypeVisitor; ComponentModelVisitor]; [DataSourceBuilder]; [ServletHelper]; [JsonResolver]; [ModelCache]; [ForcedInheritanceValueMapWrapper]; [RequireAem]; [RequireAem.Distribution]; [RequireAem.ServiceType]; [EmailService]. LCC (Lack of Component Cohesion) = 0.83
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PageMetadataComponentUpdaterImplTest]; [BannerComponentUpdaterImplTest]; [AssetKitComponentUpdaterImplTest]; [AssetKitComponentUpdaterImplTest.MockHit]; [BannerComponentUpdaterImpl]; [AssetKitComponentUpdaterImpl]; [PageMetadataComponentUpdaterImpl]. LCC (Lack of Component Cohesion) = 1.0
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MetadataSchemaPropertiesImplTest; MetadataSchemaPropertiesImpl]; [AssetModelImplTest; AssetModelImpl]; [CombinedPropertiesTest; CombinedProperties]; [CombinedPropertiesTest.TestWithRequestComputedProperty]; [CombinedPropertiesTest.TestWithNoRequestComputedProperty]; [MetadataSchemaPropertiesImpl.MetadataSchemaResourceVisitor]; [AssetResolverImpl]; [CombinedProperties.ComputedPropertyParameter]. LCC (Lack of Component Cohesion) = 0.73
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.properties.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.renditions; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.testing; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.util; com.adobe.aem.commons.assetshare.content.renditions; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl.dispatchers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExternalRedirectRenditionDispatcherImplTest]; [AbstractRenditionDispatcherImplTest]; [AbstractRenditionDispatcherImplTest.TestRenditionDispatcher; AbstractRenditionDispatcherImpl; AssetDeliveryRenditionDispatcherImpl; InternalRedirectRenditionDispatcherImplTest; InternalRedirectRenditionDispatcherImpl; ExternalRedirectRenditionDispatcherImpl; StaticRenditionDispatcherImpl]; [StaticRenditionDispatcherImplTest]; [StaticRenditionDispatcherImpl.PatternRenditionPicker]. LCC (Lack of Component Cohesion) = 0.45
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetRenditionDispatchersImplTest]; [AssetRenditionsImplTest]; [AssetRenditionServletTest; AssetRenditionServlet; AssetRenditionsImpl]; [AssetRenditionDispatchersImpl]. LCC (Lack of Component Cohesion) = 0.67
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetRenditionParametersTest; AssetRenditionParameters; AssetRenditions; AssetRenditionTracker; AssetRenditionDispatcher; AssetRenditionTest; AssetRendition]; [AssetRenditionDispatcher.Types]; [AssetRenditionDispatchers]. LCC (Lack of Component Cohesion) = 0.33
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetRenditionDownloadResponseTest; AssetRenditionDownloadResponse; AssetRenditionStreamerImpl; AssetRenditionDownloadRequestTest; AssetRenditionDownloadRequest]; [AssetRenditionsDownloadServletTest; AssetRenditionsDownloadServlet]; [AssetRenditionsExceptionTest]; [AssetRenditionsZipperImplTest; AssetRenditionsZipperImpl]; [AssetRenditionDownloadRequest.WrappedRequestPathInfoWrapper]; [AssetRenditionStreamerImpl.StreamImpl]. LCC (Lack of Component Cohesion) = 0.5
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ComputedPropertiesImplTest; FileSizeImpl; ComputedPropertiesImpl; TitleImpl]; [SmartTagTitlesImpl]; [SmartTagTitlesImpl.SmartTagsConfidenceComparator]; [HeightImpl]; [FileExtensionImpl]; [LicenseImpl]; [FileNameImpl]; [WebRenditionImpl]; [WidthImpl]; [ExpiredImpl]; [UrlImpl; PathEncodedImpl]; [AssetRenditionImpl]; [PathImpl]; [ComputedPropertiesImpl.RankedComputedProperty]; [TagTitlesImpl]; [ResolutionImpl]; [ThumbnailImpl]; [AssetTypeImpl]. LCC (Lack of Component Cohesion) = 0.82
asset-share-commons,com.adobe.aem.commons.assetshare.testing,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.components.predicates.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PropertyPredicateImplTest; PropertyPredicateImpl; FreeformTextPredicatePredicateImpl; DatePredicateImpl; TagsPredicateImpl]; [FulltextPredicateImpl]; [SortPredicateImpl]; [PropertyPredicateImpl.TextValueJsonOption]; [PagePredicateImpl; HiddenPredicateImpl]; [PathPredicateImpl]. LCC (Lack of Component Cohesion) = 0.55
asset-share-commons,com.adobe.aem.commons.assetshare.components.details.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EditorLinksImplTest; EditorLinksImpl; AbstractEmptyTextComponent; RenditionsImpl; TitleImpl; MetadataImpl; TagsImpl; ImageImplTest; ImageImpl; VideoImplTest; VideoImpl; MetadataImplTest; ActionButtonsImpl]; [RenditionsImpl.RenditionImpl]; [RenditionsImpl.LegacyRenditionImpl]; [RenditionsImpl.MissingRenditionImpl]; [MetadataImpl.JsonOption]. LCC (Lack of Component Cohesion) = 0.29
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionHelperImplTest]; [ActionHelperImplTest.ResourcePath]; [AssetDownloadHelperImplTest]; [AssetDownloadHelperImpl]; [ActionHelperImpl]; [ActionPageServlet]; [ActionPageServlet.GetRequest]. LCC (Lack of Component Cohesion) = 1.0
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single, general entry-point via the following class: AssetRenditionsException
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetRenditionsDownloadOrchestrator; AssetRenditionsException; AssetRenditionsDownloadOrchestratorManager; AssetRenditionStreamer]; [AssetRenditionStreamer.AssetRenditionStream]; [DownloadExtensionResolver]. LCC (Lack of Component Cohesion) = 0.5
asset-share-commons,com.adobe.aem.commons.assetshare.search,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single, general entry-point via the following class: UnsafeSearchException
asset-share-commons,com.adobe.aem.commons.assetshare.search.results,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssetResult; Result; Size; FolderResult]; [ResultsWrapper; Results]; [Results.Status]. LCC (Lack of Component Cohesion) = 0.43
asset-share-commons,com.adobe.aem.commons.assetshare.components.predicates,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SortPredicate; Predicate; HiddenPredicate; DatePredicate; PathPredicate; AbstractPredicate; PropertyPredicate; TagsPredicate; PagePredicate; FreeformTextPredicate]; [SortPredicate.SortOptionItem]; [AbstractPredicate.AlphabeticalOptionItems]; [FulltextPredicate]; [PagePredicate.ParamTypes]. LCC (Lack of Component Cohesion) = 0.36
asset-share-commons,com.adobe.aem.commons.assetshare.components.predicates.impl.options,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TagOptionItem]; [SelectedOptionItem]; [UnselectedOptionItem]; [SortOptionItem]; [CustomOptionItem]; [JsonOptionItem]. LCC (Lack of Component Cohesion) = 1.0
asset-share-commons,com.adobe.aem.commons.assetshare.components.details,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmptyTextComponent; EditorLinks; Image; Tags; ActionButtons; Title; Video; Metadata; Renditions]; [Metadata.DataType]. LCC (Lack of Component Cohesion) = 0.2
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.download.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions.download.async.impl
asset-share-commons,com.adobe.aem.commons.assetshare.components.actions.download.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.components.actions.download.impl; com.adobe.aem.commons.assetshare.content.renditions.download.async.impl; com.adobe.aem.commons.assetshare.components.actions.download.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.renditions.download.async.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpressionDownloadArchiveNamerTest]; [ExpressionDownloadArchiveNamerTest.TestDownloadExtensionResolver]; [AsyncAssetRenditionsDownloadServletTest; AsyncAssetRenditionsDownloadServlet; NamedRenditionDownloadTargetProcessor]; [DownloadEntryImpl]; [ExpressionDownloadArchiveNamer]. LCC (Lack of Component Cohesion) = 0.71
